ID,Stepartist,Pack,Difficulty,Mode,Rating,Song,BPM,Steps,Measures,Length,16ths,24ths,32nds,Break,% Stream,Adj. % Stream,S/B Ratio,Density,Adj. Density,Breakdown,Tier,16ths Mod,16ths Rank,Diff Rating,Score,DP,EP,DP+EP,DP/EP,RP,AP,Total (no bonuses),Total,
18,nv,Recycle Bin Streams,Expert,Single,23,Curry Meshi is a Miracle,272,1374,124,1.82,72,0,0,38,0.5806,0.6545,1.89,12.87,13.68,16 (16) 8 (20) 32 (2) 16,270,36.54163185,1,11,1,1000,0,1000,378,1000,1000,2000,3000,
19,ITGAlex,StreamVoltex ep.2,Expert,Single,23,A Lasting Promise,270,1617,134,1.99,91,0,0,27,0.6791,0.7459,3.37,14.79,14.78,10 (8) 6 (2) 14 (2) 16 (7) 8 26 (8) 8 1 1 1,270,56.92858166,4,11,1,953,150,1103,694,1000,1000,2103,3103,
20,YourVinished,Trails of Cold Stream IV,Expert,Single,23,Concept HMI (Hard),270,1791,167,2.47,100,0,0,64,0.5988,0.6098,1.56,12.29,12.28,32 (16) 32 (48) 36,270,45.3210405,2,11,1,953,50,1003,387,1000,1000,2003,3003,
21,Janus5k,Gloryhammer,Expert,Single,23,The Fires of Ancient Cosmic Destiny (Part 1),270,3017,266,4,138,0,0,72,0.5188,0.6571,1.92,13.1,13.54,16 (16) 32 (20) 28 (20) 32 (16) 30,270,70.48382008,6,11,1,953,250,1203,1000,1000,1000,2203,3203,
22,glory limited.,Big Waves,Expert,Single,24,two thousands otaku retrospective collection re-collected,235,13705,1008,17.16,787,0,0,161,0.7808,0.8105,4.89,13.49,13.66,50 (2) 15 (3) 6 70 (5) 14 (2) 14 (2) 31 (3) 7 7 15 7 7 16 (2) 7 7 7 7 7 9 7 11 7 7 7 7 (3) 15 15 (9) 7 (2) 31 (2) 15 15 16 (2) 38 (2) 47 46 (10) 15 (9) 23 (8) 16 (5) 27 (9) 5 (11) 39 (17) 6 (4) 1 3 (9) 15 (5) 2 (2) 15 15 (33) 11,230,562.3148633,21,32,1,0,1000,1000,479,2000,1000,3000,4000,
23,UVCat,The Sound of Speed,Expert,Single,24,Crisis City,243,6325,416,6.84,392,0,0,11,0.9423,0.9727,43.5,15.64,15.66,/39/ /23/ /39/ /90/ (6) /7/ /31/ /32/,240,375.0181892,18,32,1,151,850,1001,484,2000,1000,3001,4001,
24,StoryTime,The Main Ingredient 2020,Expert,Single,24,For Creatures Such As We FB 246,246,6697,443,7.2,410,0,0,16,0.9255,0.9382,25.62,15.71,15.71,1 159 1 3 3 3 19 3 3 3 132 (16) 16 64,240,370.2171579,17,32,1,208,800,1008,517,2000,1000,3008,4008,
25,Rust,Petriform's Factory,Expert,Single,24,Funky Fresh Blitz FB 240,240,9542,687,11.45,567,0,0,90,0.8253,0.8526,6.3,14.16,14.24,15 55 7 39 27 (8) 16 (16) 27 16 (25) 14 (2) 7 87 (5) 51 (9) 25 66 (8) 23 (17) 53 39,240,439.3145469,20,32,1,95,950,1045,694,2000,1000,3045,4045,
26,yutsi & StarrySergal,itg! Rhythm is just a step away,Expert,Single,24,Because Maybe! pt.3,240,10076,735,12.25,585,0,0,124,0.7959,0.808,4.72,13.75,13.84,7 7 (5) 7 8 (2) 1 1 (18) 24 15 16 (8) 36 (2) 32 (8) 20 (18) 23 7 7 7 (9) 7 15 1 (3) 7 (3) 33 (3) 2 (2) 2 (2) 2 (2) 1 15 23 (3) 2 (2) 2 (2) 2 (2) 1 30 (4) 2 (2) 2 (2) 2 (2) 33 15 16 (4) 30 (2) 62 (10) 14 (2) 30 (2) 16,240,415.9240596,19,32,1,95,900,995,455,2000,1000,2995,3995,
27,Levitas,Trails of Cold Stream IV,Expert,Single,24,Glessing Way FB 250,250,3650,238,3.81,224,0,0,8,0.9412,0.9655,28,16.11,16.25,122 (4) 98 (4) 4,250,211.7637716,14,32,1,284,650,934,163,2000,1000,2934,3934,
28,Levitas,fof,Expert,Single,24,Golden Love (Mr. Frenkie Remix),258,4191,321,4.98,235,0,0,66,0.732,0.7807,3.73,14.44,14.44,/16/ (24) /32/ (6) 2 /14/ (3) /31/ (4) 4 (7) 1 /64/,250,158.1402967,11,32,1,434,500,934,163,2000,1000,2934,3934,
29,ITGAlex,Katagiri,Expert,Single,24,Never to Fade Away,250,4099,282,4.51,248,0,0,17,0.8794,0.9323,14.59,15.64,15.82,60 (8) 101 (9) 43 44,250,221.6872804,15,32,1,284,700,984,402,2000,1000,2984,3984,
30,tyler.exe,tyler.exe,Expert,Single,24,Vampire Edge FB 254,254,4125,286,4.5,253,0,0,21,0.8846,0.9234,12.05,15.82,15.89,33 (8) 16 (2) 30 (2) 16 (2) 126 (7) 32,250,222.7123567,16,32,1,359,750,1109,1000,2000,1000,3109,4109,
31,yutsi,yutsi-type beats,Expert,Single,24,Trojans,266,3457,298,4.48,168,1,0,74,0.5638,0.6942,4.43,13.3,13.88,1 (8) *4* *2* 1 (2) *5* 1 *6* 4 *4* *1* *10* (2) /1/ *14* 1 *7* 1 *6* *6* 8 (5) *8* ~1~ (6) *3* ~1~ *3* *3* *2*,260,93.68814857,9,32,1,585,400,985,407,2000,1000,2985,3985,
32,Zaia,Big Waves,Expert,Single,24,You Say Run,263,2920,246,3.75,168,0,0,39,0.6829,0.8116,4.5,14.89,14.78,1 /16/ 1 /16/ (7) 1 /30/ (19) 1 /16/ 1 /34/,260,120.2974837,10,32,1,529,450,979,378,2000,1000,2979,3979,
33,Zaia,Saitama's Ultimate Weapon,Expert,Single,24,Shock!! (Restep),260,2926,192,2.95,178,0,0,0,0.9271,0.9889,0,16.86,17.22,83 79 16,260,174.8492627,12,32,1,472,550,1022,584,2000,1000,3022,4022,
34,StoryTime,Pendulum Act IV,Expert,Single,24,Self vs. Self,261,4080,308,4.71,245,0,0,56,0.7955,0.814,4.56,14.72,14.78,/16/ (14) 1 /49/ (4) /64/ (18) /34/,260,176.2646132,13,32,1,491,600,1091,914,2000,1000,3091,4091,
35,Chief Skittles,bigger waves,Expert,Single,24,Knights Assault,276,1476,137,1.99,78,0,0,38,0.5693,0.6724,2.05,12.67,13.7,32 (14) 20 (10) 8 (14) 18,270,41.33319056,4,32,1,774,150,924,115,2000,1000,2924,3924,
36,StarrySergal,Big Waves,Expert,Single,24,Rocky Buinne,277,1989,165,2.38,105,0,0,43,0.6364,0.6908,2.44,14.26,14.72,1 (3) 2 7 7 24 (21) 4 (12) 19 8 (7) 33,270,58.09690881,6,32,1,793,250,1043,685,2000,1000,3043,4043,
37,YourVinished,Trails of Cold Stream IV,Expert,Single,24,Gens D'Armes (Medium),272,2289,183,2.69,112,0,0,51,0.612,0.6871,2.2,14.49,15.3,32 (16) 32 (35) 48,270,61.4398208,7,32,1,699,300,999,474,2000,1000,2999,3999,
38,YourVinished,Trails of Cold Stream IV,Expert,Single,24,Vacant Interference,270,2544,228,3.38,136,0,0,52,0.5965,0.712,2.62,13.13,14.18,14 (2) 14 15 (10) 7 (17) 14 (2) 14 24 4 (2) 16 (10) 7 (9) 7,270,78.97813939,8,32,1,661,350,1011,532,2000,1000,3011,4011,
39,Levitas,fof,Expert,Single,24,Digital Kiss feat. Stephanie Yanez,288,1324,144,2.14,64,0,0,36,0.4444,0.64,1.83,11.19,13.8,*16* (18) 1 *16*,280,31.33775871,1,32,1,1000,0,1000,479,2000,1000,3000,4000,
40,Aoreo,BangerZ 3,Expert,Single,24,Never Ending Story (Hard) (Power Club Vocal Mix),280,1143,123,1.76,64,0,0,32,0.5203,0.6667,2,12.58,13.28,16 (32) 48,280,33.45559069,2,32,1,850,50,900,0,2000,1000,2900,3900,
41,Chief Skittles,bigger waves,Expert,Single,24,RFN - III (Cut),280,1170,94,1.34,64,0,0,16,0.6809,0.8,4,14.84,15.98,48 (16) 16,280,44.78411055,5,32,1,850,200,1050,718,2000,1000,3050,4050,
42,ITGAlex,StreamVoltex ep.2,Expert,Single,24,iLLness LiLin,280,1560,138,1.97,77,0,0,44,0.558,0.616,1.75,13.68,13.94,1 (4) 2 (2) 12 3 (2) 4 (2) 7 7 (27) 7 3 2 (2) 28 (5) 1,280,35.46662513,3,32,1,850,100,950,240,2000,1000,2950,3950,
43,Rust,Content Cop - Tachyon Epsilon,Expert,Single,25,Call of The Hound FB 255,255,5323,386,6.05,308,0,0,31,0.7979,0.9086,9.94,14.81,16.12,97 (15) 1 (16) 210,250,264.2086844,17,53,1,114,800,914,116,3000,1000,3914,4914,
44,Zaia,Big Waves,Expert,Single,25,Life Burst (Liquid E.T. Remix) FB 250,250,6176,439,7.02,372,0,0,23,0.8474,0.9323,16.17,15.5,16.06,1 (14) 15 62 (2) 16 (2) 11 (3) 14 16 159 30 (2) 48,250,332.5309206,19,53,1,0,900,900,65,3000,1000,3900,4900,
45,Janus5k,Stamina Showcase 3,Expert,Single,25,Panic Attack FB 255,255,6556,459,7.2,397,0,0,50,0.8649,0.8881,7.94,15.55,15.56,24 (5) 54 (17) 25 (3) 11 (13) 48 (8) 26 (2) 146 (2) 63,250,328.3443132,18,53,1,114,850,964,295,3000,1000,3964,4964,
46,nv,Theoretical Eurobeat Pack,Expert,Single,25,EUROBEAT HOLIC EX -NON-STOP MEGA MIX- (Part5),252,9613,666,10.57,566,0,0,68,0.8498,0.8927,9.32,15.26,15.31,/8/ (4) /42/ (2) /16/ (3) 1 /18/ (6) /14/ (12) /32/ /24/ /24/ /16/ /1/ /1/ 3 /6/ (4) /6/ (2) /7/ /18/ (2) /4/ /22/ (2) /1/ /10/ (2) /4/ /16/ (2) /16/ /3/ /39/ ~1~ /15/ ~1~ /7/ 1 /7/,250,472.0035737,20,53,1,46,950,996,411,3000,1000,3996,4996,
47,ITGAlex & Aoreo,Big Waves,Expert,Single,25,Fumisugi Annihilation FB 250,250,15044,1177,18.83,867,0,0,265,0.7366,0.7625,3.27,13.6,13.72,48 32 (17) 16 (17) 65 (9) 24 (8) 8 (8) 56 (33) 15 15 (33) 15 16 (16) 13 42 (14) 28 (16) 18 (2) 48 (8) 7 64 (15) 56 (2) 64 (17) 7 (4) 52 (16) 48 (4) 6 (2) 6 (2) 22 (2) 8 (8) 14 (2) 6 (2) 32 (8) 16,250,561.8273206,21,53,1,0,1000,1000,425,3000,1000,4000,5000,
48,Levitas,Trails of Cold Stream IV,Expert,Single,25,Belief,268,2381,163,2.43,147,0,0,11,0.9018,0.9304,13.36,16.51,16.79,1 (4) 138 (3) 1 (4) 7,260,130.9751358,11,53,1,410,500,910,101,3000,1000,3910,4910,
49,Chief Skittles,Trails of Cold Stream IV,Expert,Single,25,Great Plains - Pan-Gaia,265,2711,192,2.9,164,0,0,0,0.8542,1,0,16.63,17.67,164,260,164,15,53,1,341,700,1041,572,3000,1000,4041,5041,
50,YourVinished,Trails of Cold Stream IV,Expert,Single,25,The Strongest Foe,266,3879,320,4.81,215,0,0,48,0.6719,0.8144,4.48,13.69,15.3,15 32 (6) 66 (40) 32 (2) 70,260,154.8028257,13,53,1,364,600,964,295,3000,1000,3964,4964,
51,Archi,Pendulum Act IV,Expert,Single,25,Hold Your Colour FB 264,264,4157,344,5.2,246,0,0,30,0.7151,0.8913,8.2,13.61,15.97,/38/ (2) /46/ (2) /16/ (14) /32/ (2) /32/,260,204.6319098,16,53,1,319,750,1069,673,3000,1000,4069,5069,
52,Archi,Stream Fantasy,Expert,Single,25,"Battle Theme (FFXI, FFRK Ver.arrange from Battle Medley)",278,1476,125,1.79,90,0,0,12,0.72,0.8824,7.5,15.38,16.39,/36/ (8) /24/,270,73.6728225,7,53,1,637,300,937,198,3000,1000,3937,4937,
53,StarrySergal,Stamina Alley,Expert,Single,25,Heel and Toe,278,1970,132,1.9,122,0,0,0,0.9242,1,0,18.52,18.5,/81/,270,122,10,53,1,637,450,1087,738,3000,1000,4087,5087,
54,Aoreo,Jimmy Jawns 4,Expert,Single,25,The Violation,270,4273,310,4.71,217,0,0,46,0.7,0.775,4.72,15.39,16.59,7 6 (2) 5 (2) 1 4 (2) 7 (2) 5 (2) 8 6 (3) 5 (2) 15 7 7 7 6 (4) 6 6 (3) 5 1 4 (2) 16 7 6 7 (8) 13 (3) 7 (3) 6 (2) 5 1 6 (2) 6 (4) 6 7 6,270,144.3252963,12,53,1,455,550,1005,443,3000,1000,4005,5005,
55,ITGAlex,Noah,Expert,Single,25,The end,270,4327,332,4.92,244,0,0,69,0.7349,0.7771,3.54,15.26,15.4,1 (2) 46 (9) 32 (5) 1 (18) 28 (9) 48 (8) 9 30 (16) 48 (2) 1,270,162.986968,14,53,1,455,650,1105,803,3000,1000,4105,5105,
56,StoryTime,fofmas 2,Expert,Single,25,8Bit Assassin,285,1328,110,1.54,66,0,0,17,0.6,0.7952,7.38,15.69,15.46,8 /7/ 1 /7/ 1 (8) /7/ /15/ 1 /8/ 4,280,45.74105,4,53,1,796,150,946,231,3000,1000,3946,4946,
57,Levitas,Trails of Cold Stream IV,Expert,Single,25,Fateful Confrontation (Restep) (Fight! Ver. Evolution),280,1615,119,1.7,90,0,0,16,0.7563,0.8491,5.62,16.1,16.91,46 (2) 32 (14) 12,280,69.2750192,5,53,1,682,200,882,0,3000,1000,3882,4882,
58,StarrySergal,Stamina Alley,Expert,Single,25,Subboss Theme,280,1534,114,1.63,90,0,0,6,0.7895,0.9184,15,16.13,17.58,31 14 (6) 31 14,280,78.54047248,9,53,1,682,400,1082,720,3000,1000,4082,5082,
59,ITGAlex,ITGAlex's Footspeed Fiesta,Expert,Single,25,Quantum Sea Lindwurm,280,1687,126,1.8,97,0,0,15,0.7698,0.8584,6.47,16.97,17.13,13 (9) 5 (4) 34 (2) 34 11,280,75.9757977,8,53,1,682,350,1032,540,3000,1000,4032,5032,
60,tyler.exe,Stamina Alley,Expert,Single,25,OVERBLAST!!,294,1038,88,1.2,60,0,0,16,0.6818,0.7895,3.75,15.14,15.8,*3* *4* (4) *3* *16* (4) *4*,290,41.10689421,2,53,1,1000,50,1050,605,3000,1000,4050,5050,
61,Levitas,Big Waves,Expert,Single,25,Blue Planet,294,1185,136,1.85,62,0,0,48,0.4559,0.5636,1.33,12.31,12.43,*16* (24) 1 *8* *7*,290,24.77109841,1,53,1,1000,0,1000,425,3000,1000,4000,5000,
62,Zaia,Big Waves,Expert,Single,25,Beyond the Power,290,1667,163,2.25,86,0,0,39,0.5276,0.6615,2.21,13.17,14.85,1 14 (2) 14 (2) 15 (33) 3 3 3 3 15 (2) 15,290,44.39624188,3,53,1,910,100,1010,461,3000,1000,4010,5010,
63,ITGAlex,ITGAlex's Footspeed Fiesta,Expert,Single,25,Revived,290,2872,251,3.46,150,0,0,88,0.5976,0.6173,1.7,14.05,14.2,1 (5) 17 16 (16) 1 28 1 24 (16) 18 (15) 1 (15) 1 (3) 8 (16) 1 (2) 26 7,290,69.32426954,6,53,1,910,250,1160,1000,3000,1000,4160,5160,
64,Zaia,Saitama's Ultimate Weapon,Expert,Single,26,Disaster Level- DRAGON,250,18219,1262,20.19,1047,0,0,183,0.8296,0.845,5.72,15.07,15.2,1 (3) 2 (4) 32 (9) 2 3 (2) 32 (9) 38 1 (2) 1 (2) 8 (5) 26 8 (3) 7 (16) 47 8 (3) 23 (4) 2 (7) 67 (4) 6 (4) 89 16 (6) 61 112 (21) 97 (10) 13 58 1 (3) 2 (8) 2 (5) 33 (7) 2 (2) 7 (8) 48 (17) 71 (11) 75 28 (8) 18,250,799.6821756,21,74,1,0,1000,1000,221,4000,1000,5000,6000,
65,tyler.exe,tyler.exe,Expert,Single,26,The reviving nightmare REMIX (true) FB 266,266,4326,277,4.17,267,0,0,0,0.9639,0.9709,0,17.5,17.44,83 3 3 99 35 3 3 19 19,260,254.6774326,17,74,1,291,800,1091,592,4000,1000,5091,6091,
66,Rust,Feelin' Rusty 4,Expert,Single,26,The Sun Rises,260,5723,369,5.68,352,0,0,6,0.9539,0.9832,58.67,16.94,17.26,112 (2) 112 (2) 112 (2) 16,260,342.5860347,18,74,1,182,850,1032,352,4000,1000,5032,6032,
67,Zaia,Theoretical DNB Pack,Expert,Single,26,Astral Traveller (Xenofish Remix),266,7197,509,7.66,446,0,0,33,0.8762,0.9311,13.5,16.59,16.58,/30/ (2) /64/ (16) /15/ /62/ (2) /62/ (2) /64/,260,397.8588119,19,74,1,291,900,1191,1000,4000,1000,5191,6191,
68,Levitas,fof 2 - secret santa,Expert,Single,26,Return to Oblivion (Hard),260,7693,520,8,477,0,0,23,0.9173,0.9502,20.74,16.6,16.6,31 64 (2) 95 (17) 48 (2) 95 64 (2) 80,260,439.5643077,20,74,1,182,950,1132,760,4000,1000,5132,6132,
69,Levitas,Big Waves,Expert,Single,26,Reunion (Restep),276,3119,227,3.28,182,0,0,0,0.8017,1,0,16.49,18.26,1 /121/,270,182,13,74,1,473,600,1073,519,4000,1000,5073,6073,
70,Levitas,Theoretical Chiptune Pack,Expert,Single,26,Songs From The Cell,274,3439,253,3.69,213,0,0,16,0.8419,0.9261,13.31,16.71,16.95,176 (16) 36 1,270,188.3788833,14,74,1,437,650,1087,576,4000,1000,5087,6087,
71,ITGAlex,Noah,Expert,Single,26,World's end -Millefolium-,270,4588,374,5.54,279,0,0,37,0.746,0.8801,7.54,16.28,16.28,8 (5) 1 (6) 3 3 (2) 1 (7) 190 (15) 72 (2) 1,270,227.4340248,16,74,1,364,750,1114,686,4000,1000,5114,6114,
72,StoryTime,bigger waves,Expert,Single,26,Marionette Bigger Waves Rebuild,272,4730,375,5.51,281,0,0,51,0.7493,0.8464,5.51,14.41,15.74,16 (12) 16 (2) 67 (5) 38 (4) 70 (24) 6 (2) 16 (2) 52,270,215.1926171,15,74,1,400,700,1100,629,4000,1000,5100,6100,
73,Levitas,Theoretical Chiptune Pack,Expert,Single,26,Maggie's Quest,280,2088,146,2.09,128,0,0,0,0.8767,1,0,17.78,18.67,128,280,128,12,74,1,546,550,1096,613,4000,1000,5096,6096,
74,StarrySergal,Pendulum Act III,Expert,Single,26,The Vulture,280,3146,286,4.09,160,0,0,42,0.5594,0.7921,3.03,13.49,13.49,16 (14) 2 *7* *7* (2) *14* *7* (2) *15* (13) 2 *15* (2) *15*,280,110.1965515,9,74,1,546,400,946,0,4000,1000,4946,5946,
75,YourVinished,Trails of Cold Stream IV,Expert,Single,26,Exceed!,280,3364,271,3.87,185,0,0,66,0.6827,0.7312,2.8,14.64,15.13,40 (24) 15 22 (2) 31 (8) 24 (24) 31 14 (8) 8,280,112.1061972,10,74,1,546,450,996,205,4000,1000,4996,5996,
76,tyler.exe,tyler.exe,Expert,Single,26,Kyouran Hey Kids!! (Restep),284,3526,292,4.11,198,0,0,82,0.6781,0.7071,2.41,14.44,14.76,16 (16) 14 (2) 28 (4) 14 (2) 14 (2) 28 (16) 28 (36) 40 (4) 16,280,113.7193922,11,74,1,619,500,1119,707,4000,1000,5119,6119,
77,tyler.exe,Big Waves,Expert,Single,26,Disconnected -Trance Mix- (Restep),296,1363,114,1.54,72,0,0,8,0.6316,0.9,9,16.16,18.75,24 (8) 48,290,60.83037749,5,74,1,837,200,1037,372,4000,1000,5037,6037,
78,Levitas,Theoretical Chiptune Pack,Expert,Single,26,Royally Screwed,291,1615,138,1.9,96,0,0,15,0.6957,0.8649,6.4,15.92,17.27,/32/ (2) /16/ (8) /16/,290,76.1056095,6,74,1,746,250,996,205,4000,1000,4996,5996,
79,YourVinished,Trails of Cold Stream IV,Expert,Single,26,Monstrum Spectrum,290,1614,105,1.45,100,0,0,2,0.9524,0.9804,50,19.12,19.11,80 (2) 20,290,96.8824882,8,74,1,728,350,1078,539,4000,1000,5078,6078,
80,Levitas,fof,Expert,Single,26,Crystallized Silver,292,2032,163,2.23,115,0,0,28,0.7055,0.8042,4.11,16.05,16.79,32 (14) 66 (14) 17,290,81.1484727,7,74,1,764,300,1064,482,4000,1000,5064,6064,
81,Aoreo,Bangerz 3,Expert,Single,26,Almost There (Hard),305,1494,190,2.49,72,0,0,66,0.3789,0.5217,1.09,10.21,12.11,40 (66) 32,300,25.42177293,1,74,1,1000,0,1000,221,4000,1000,5000,6000,
82,Zaia,fof,Expert,Single,26,Don't Speak,300,1475,154,2.05,74,0,0,46,0.4805,0.6167,1.61,12.54,13.61,5 (11) 5 (35) 64,300,34.14680207,2,74,1,910,50,960,58,4000,1000,4960,5960,
83,StoryTime,Big Waves,Expert,Single,26,Icefield White Knight,300,1405,114,1.52,80,0,0,16,0.7018,0.8333,5,16.26,17.63,16 (8) 16 (8) 48,300,59.75471755,4,74,1,910,150,1060,466,4000,1000,5060,6060,
84,Zaia,Trails of Cold Stream IV,Expert,Single,26,Burning Throb,300,1566,123,1.63,85,0,0,44,0.6911,0.6589,0.14,16.48,16.78,1 ~3~ (7) 1 ~24~ (8) ~38~ (6) ~3~ 1,300,43.60438221,3,74,1,910,100,1010,262,4000,1000,5010,6010,
85,ITGAlex & Rust & Aoreo & Zaia,Big Waves,Expert,Single,27,Chipspeed Legacy FB 260,260,19143,1373,21.12,1144,0,0,140,0.8332,0.8854,8.17,15.27,15.91,110 85 45 8 (20) 16 (8) 6 (2) 34 (2) 72 (22) 2 (8) 34 (8) 1 (9) 216 (28) 99 15 7 74 48 (3) 1 (3) 1 (8) 31 116 (12) 38 (7) 85,260,941.5627154,17,93,1,0,1000,1000,280,5000,1000,6000,7000,
86,Zaia,Theoretical Sharpnel Pack,Expert,Single,27,Lost Connections FB 279,279,5111,356,5.1,312,0,0,36,0.8764,0.8966,9.09,17.07,17.07,/96/ (18) 1 (5) /112/,270,262.0068038,13,93,1,405,750,1155,772,5000,1000,6155,7155,
87,mattm,Stamina Alley,Expert,Single,27,Disclude,274,5196,382,5.58,320,0,0,32,0.8377,0.9091,10,16.39,16.81,*80* (16) *80*,270,274.7442618,14,93,1,298,813,1111,632,5000,1000,6111,7111,
